Date,Year,Quarter,Users_in_mln
2021-01-01,2021,1,2853
2021-04-01,2021,2,2895
2021-07-01,2021,3,2910
2021-10-01,2021,4,2912
2022-01-01,2022,1,2936
2022-04-01,2022,2,2934
2022-07-01,2022,3,2958
2022-10-01,2022,4,2963
