Date,Year,Quarter,Users_in_mln
2018-01-01,2018,1,2196
2018-04-01,2018,2,2234
2018-07-01,2018,3,2271
2018-10-01,2018,4,2320
2019-01-01,2019,1,2375
2019-04-01,2019,2,2414
2019-07-01,2019,3,2449
2019-10-01,2019,4,2498
2020-01-01,2020,1,2603
2020-04-01,2020,2,2701
2020-07-01,2020,3,2740
2020-10-01,2020,4,2797
